"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance"
"PP_Chaqui_32_Cavendishia bracteata","MDP0205","MDP0205.mzXML","cav2bra","PP_Chaqui_32","Cavendishia bracteata","Ericaceae","Cavendishia","PP_Chaqui_32_Cavendishia bracteata","PP_Chaqui_32","Cavendishia bracteata",3
"PP_Chaqui_32_Prunus brittoniana","MDP0216","MDP0216.mzXML","pru2bri","PP_Chaqui_32","Prunus brittoniana","Rosaceae","Prunus","PP_Chaqui_32_Prunus brittoniana","PP_Chaqui_32","Prunus brittoniana",2
"PP_Chaqui_32_Bejaria aestuans","MDP0203","MDP0203.mzXML","bejaes","PP_Chaqui_32","Bejaria aestuans","Ericaceae","Bejaria","PP_Chaqui_32_Bejaria aestuans","PP_Chaqui_32","Bejaria aestuans",20
"PP_Chaqui_32_Sciodaphyllum ECQ-54","MDP0218","MDP0218.mzXML","sci2ECQ54","PP_Chaqui_32","Sciodaphyllum ECQ-54","Araliaceae","Sciodaphyllum","PP_Chaqui_32_Sciodaphyllum ECQ-54",NA,NA,NA
"PP_Chaqui_32_Prunus integrifolia","MDP0217","MDP0217.mzXML","pru2int","PP_Chaqui_32","Prunus integrifolia","Rosaceae","Prunus","PP_Chaqui_32_Prunus integrifolia","PP_Chaqui_32","Prunus integrifolia",25
"PP_Fuerte_27_Prunus pleiantha","MDP0587","MDP0587.mzXML","pru2ple","PP_Fuerte_27","Prunus pleiantha","Rosaceae","Prunus","PP_Fuerte_27_Prunus pleiantha","PP_Fuerte_27","Prunus pleiantha",1
"PP_Fuerte_27_Pouteria hispida","MDP0585","MDP0585.mzXML","pou3his","PP_Fuerte_27","Pouteria hispida","Sapotaceae","Pouteria","PP_Fuerte_27_Pouteria hispida","PP_Fuerte_27","Pouteria hispida",1
"PP_Fuerte_27_Myrcia sylvatica","MDP0572","MDP0572.mzXML","myr2syl","PP_Fuerte_27","Myrcia sylvatica","Myrtaceae","Myrcia","PP_Fuerte_27_Myrcia sylvatica","PP_Fuerte_27","Myrcia sylvatica",2
"PP_Fuerte_27_Protium montanum","MDP0586","MDP0586.mzXML","pro2mon","PP_Fuerte_27","Protium montanum","Burseraceae","Protium","PP_Fuerte_27_Protium montanum","PP_Fuerte_27","Protium montanum",22
"PP_Fuerte_27_Myrcia sintenisii","MDP0571","MDP0571.mzXML","myr2sin","PP_Fuerte_27","Myrcia sintenisii","Myrtaceae","Myrcia","PP_Fuerte_27_Myrcia sintenisii","PP_Fuerte_27","Myrcia sintenisii",4
"PP_Fuerte_27_Helicostylis tovarensis","MDP0554","MDP0554.mzXML","hel2tov","PP_Fuerte_27","Helicostylis tovarensis","Moraceae","Helicostylis","PP_Fuerte_27_Helicostylis tovarensis","PP_Fuerte_27","Helicostylis tovarensis",51
"PP_Fuerte_27_Ocotea FZR-18951","MDP0580","MDP0580.mzXML","ocoFZR18951","PP_Fuerte_27","Ocotea FZR-18951","Lauraceae","Ocotea","PP_Fuerte_27_Ocotea FZR-18951",NA,NA,NA
"PP_Fuerte_27_Tapirira guianensis","MDP0596","MDP0596.mzXML","tap1gui","PP_Fuerte_27","Tapirira guianensis","Anacardiaceae","Tapirira","PP_Fuerte_27_Tapirira guianensis","PP_Fuerte_27","Tapirira guianensis",9
"PP_Fuerte_27_Guatteria punctata","MDP0553","MDP0553.mzXML","gua4pun","PP_Fuerte_27","Guatteria punctata","Annonaceae","Guatteria","PP_Fuerte_27_Guatteria punctata","PP_Fuerte_27","Guatteria punctata",43
"PP_Fuerte_27_Ladenbergia oblongifolia","MDP0561","MDP0561.mzXML","ladobl","PP_Fuerte_27","Ladenbergia oblongifolia","Rubiaceae","Ladenbergia","PP_Fuerte_27_Ladenbergia oblongifolia","PP_Fuerte_27","Ladenbergia oblongifolia",1
"PP_Fuerte_27_Ocotea aciphylla","MDP0576","MDP0576.mzXML","ocoaci","PP_Fuerte_27","Ocotea aciphylla","Lauraceae","Ocotea","PP_Fuerte_27_Ocotea aciphylla","PP_Fuerte_27","Ocotea aciphylla",21
"PP_Fuerte_27_Oreopanax trollii","MDP0582","MDP0582.mzXML","oretro","PP_Fuerte_27","Oreopanax trollii","Araliaceae","Oreopanax","PP_Fuerte_27_Oreopanax trollii","PP_Fuerte_27","Oreopanax trollii",1
"PP_Fuerte_27_Sloanea rufa","MDP0594","MDP0594.mzXML","sloruf","PP_Fuerte_27","Sloanea rufa","Elaeocarpaceae","Sloanea","PP_Fuerte_27_Sloanea rufa","PP_Fuerte_27","Sloanea rufa",2
"PP_Fuerte_27_Cupania CMG-2731","MDP0545","MDP0545.mzXML","cupCMG2731","PP_Fuerte_27","Cupania CMG-2731","Sapindaceae","Cupania","PP_Fuerte_27_Cupania CMG-2731",NA,NA,NA
"PP_Fuerte_27_Myrsine DAR-264","MDP0573","MDP0573.mzXML","myr8DAR264","PP_Fuerte_27","Myrsine DAR-264","Primulaceae","Myrsine","PP_Fuerte_27_Myrsine DAR-264",NA,NA,NA
"PP_Fuerte_27_Myrsine pellucida","MDP0574","MDP0574.mzXML","myr8pel","PP_Fuerte_27","Myrsine pellucida","Primulaceae","Myrsine","PP_Fuerte_27_Myrsine pellucida","PP_Fuerte_27","Myrsine pellucida",13
"PP_Fuerte_27_Mollinedia repanda","MDP0568","MDP0568.mzXML","molrep","PP_Fuerte_27","Mollinedia repanda","Monimiaceae","Mollinedia","PP_Fuerte_27_Mollinedia repanda","PP_Fuerte_27","Mollinedia repanda",8
"PP_Fuerte_27_Ocotea floribunda","MDP0579","MDP0579.mzXML","ocoflo","PP_Fuerte_27","Ocotea floribunda","Lauraceae","Ocotea","PP_Fuerte_27_Ocotea floribunda","PP_Fuerte_27","Ocotea floribunda",8
"PP_Fuerte_27_Endlicheria AF-20980","MDP0548","MDP0548.mzXML","endAF20980","PP_Fuerte_27","Endlicheria AF-20980","Lauraceae","Endlicheria","PP_Fuerte_27_Endlicheria AF-20980",NA,NA,NA
"PP_Fuerte_27_Persea AF-12248","MDP0583","MDP0583.mzXML","per6AF12248","PP_Fuerte_27","Persea AF-12248","Lauraceae","Persea","PP_Fuerte_27_Persea AF-12248",NA,NA,NA
"PP_Fuerte_27_Weinmannia lechleriana","MDP0599","MDP0599.mzXML","weilec","PP_Fuerte_27","Weinmannia lechleriana","Cunoniaceae","Weinmannia","PP_Fuerte_27_Weinmannia lechleriana","PP_Fuerte_27","Weinmannia lechleriana",14
"PP_Fuerte_27_Banisteriopsis padifolia","MDP0534","MDP0534.mzXML","ban2pad","PP_Fuerte_27","Banisteriopsis padifolia","Malpighiaceae","Banisteriopsis","PP_Fuerte_27_Banisteriopsis padifolia","PP_Fuerte_27","Banisteriopsis padifolia",1
"PP_Fuerte_27_Podocarpus ingensis","MDP0584","MDP0584.mzXML","poding","PP_Fuerte_27","Podocarpus ingensis","Podocarpaceae","Podocarpus","PP_Fuerte_27_Podocarpus ingensis","PP_Fuerte_27","Podocarpus ingensis",2
"PP_Fuerte_27_Miconia AF-7149","MDP0563","MDP0563.mzXML","mic1AF7149","PP_Fuerte_27","Miconia AF-7149","Melastomataceae","Miconia","PP_Fuerte_27_Miconia AF-7149",NA,NA,NA
"PP_Fuerte_27_Aiouea AF-9030","MDP0529","MDP0529.mzXML","aioAF9030","PP_Fuerte_27","Aiouea AF-9030","Lauraceae","Aiouea","PP_Fuerte_27_Aiouea AF-9030",NA,NA,NA
"PP_Fuerte_27_Agouticarpa curviflora","MDP0528","MDP0528.mzXML","ago2cur","PP_Fuerte_27","Agouticarpa curviflora","Rubiaceae","Agouticarpa","PP_Fuerte_27_Agouticarpa curviflora","PP_Fuerte_27","Agouticarpa curviflora",1
"PP_Fuerte_27_Simarouba amara","MDP0593","MDP0593.mzXML","sim1ama","PP_Fuerte_27","Simarouba amara","Simaroubaceae","Simarouba","PP_Fuerte_27_Simarouba amara","PP_Fuerte_27","Simarouba amara",1
"PP_Fuerte_27_Mollinedia ovata","MDP0567","MDP0567.mzXML","molova","PP_Fuerte_27","Mollinedia ovata","Monimiaceae","Mollinedia","PP_Fuerte_27_Mollinedia ovata","PP_Fuerte_27","Mollinedia ovata",14
"PP_Fuerte_27_Endlicheria canescens","MDP0549","MDP0549.mzXML","endcan","PP_Fuerte_27","Endlicheria canescens","Lauraceae","Endlicheria","PP_Fuerte_27_Endlicheria canescens","PP_Fuerte_27","Endlicheria canescens",5
"PP_Fuerte_27_Coussarea boliviensis","MDP0543","MDP0543.mzXML","cou3bol","PP_Fuerte_27","Coussarea boliviensis","Rubiaceae","Coussarea","PP_Fuerte_27_Coussarea boliviensis","PP_Fuerte_27","Coussarea boliviensis",3
"PP_Fuerte_27_Miconia CMG-2345","MDP0564","MDP0564.mzXML","mic1CMG2345","PP_Fuerte_27","Miconia CMG-2345","Melastomataceae","Miconia","PP_Fuerte_27_Miconia CMG-2345",NA,NA,NA
"PP_Fuerte_27_Bathysa australis","MDP0535","MDP0535.mzXML","bat1aus","PP_Fuerte_27","Bathysa australis","Rubiaceae","Bathysa","PP_Fuerte_27_Bathysa australis","PP_Fuerte_27","Bathysa australis",2
"PP_Fuerte_27_Blakea multiflora","MDP0537","MDP0537.mzXML","blamul","PP_Fuerte_27","Blakea multiflora","Melastomataceae","Blakea","PP_Fuerte_27_Blakea multiflora","PP_Fuerte_27","Blakea multiflora",9
"PP_Fuerte_27_Ficus banosensis","MDP0551","MDP0551.mzXML","ficban","PP_Fuerte_27","Ficus banosensis","Moraceae","Ficus","PP_Fuerte_27_Ficus banosensis","PP_Fuerte_27","Ficus banosensis",2
"PP_Fuerte_27_Inga fendleriana","MDP0559","MDP0559.mzXML","ingfen","PP_Fuerte_27","Inga fendleriana","Fabaceae","Inga","PP_Fuerte_27_Inga fendleriana","PP_Fuerte_27","Inga fendleriana",3
"PP_Fuerte_27_Alchornea latifolia","MDP0532","MDP0532.mzXML","alclat","PP_Fuerte_27","Alchornea latifolia","Euphorbiaceae","Alchornea","PP_Fuerte_27_Alchornea latifolia","PP_Fuerte_27","Alchornea latifolia",34
"PP_Fuerte_27_Clusia elongata","MDP0542","MDP0542.mzXML","cluelo","PP_Fuerte_27","Clusia elongata","Clusiaceae","Clusia","PP_Fuerte_27_Clusia elongata","PP_Fuerte_27","Clusia elongata",1
"PP_Fuerte_27_Dendropanax inaequalipedunculatus","MDP0546","MDP0546.mzXML","den2ina","PP_Fuerte_27","Dendropanax inaequalipedunculatus","Araliaceae","Dendropanax","PP_Fuerte_27_Dendropanax inaequalipedunculatus","PP_Fuerte_27","Dendropanax inaequalipedunculatus",3
"PP_Fuerte_27_Elaeagia mariae","MDP0547","MDP0547.mzXML","elamar","PP_Fuerte_27","Elaeagia mariae","Rubiaceae","Elaeagia","PP_Fuerte_27_Elaeagia mariae","PP_Fuerte_27","Elaeagia mariae",68
"PP_Fuerte_27_Myrcia fallax","MDP0569","MDP0569.mzXML","myr2fal","PP_Fuerte_27","Myrcia fallax","Myrtaceae","Myrcia","PP_Fuerte_27_Myrcia fallax","PP_Fuerte_27","Myrcia fallax",8
"PP_Fuerte_27_Miconia elongata","MDP0565","MDP0565.mzXML","mic1elo","PP_Fuerte_27","Miconia elongata","Melastomataceae","Miconia","PP_Fuerte_27_Miconia elongata","PP_Fuerte_27","Miconia elongata",14
"PP_Fuerte_27_Clethra elongata","MDP0541","MDP0541.mzXML","cle3elo","PP_Fuerte_27","Clethra elongata","Clethraceae","Clethra","PP_Fuerte_27_Clethra elongata","PP_Fuerte_27","Clethra elongata",5
"PP_Fuerte_27_Hieronyma MVH-157","MDP0555","MDP0555.mzXML","hieMVH157","PP_Fuerte_27","Hieronyma MVH-157","Phyllanthaceae","Hieronyma","PP_Fuerte_27_Hieronyma MVH-157",NA,NA,NA
"PP_Fuerte_27_Hyptidendron arboreum","MDP0556","MDP0556.mzXML","hyp2arb","PP_Fuerte_27","Hyptidendron arboreum","Lamiaceae","Hyptidendron","PP_Fuerte_27_Hyptidendron arboreum",NA,NA,NA
"PP_Fuerte_27_Inga cylindrica","MDP0558","MDP0558.mzXML","ingcyl","PP_Fuerte_27","Inga cylindrica","Fabaceae","Inga","PP_Fuerte_27_Inga cylindrica","PP_Fuerte_27","Inga cylindrica",1
"PP_Fuerte_27_Croton rusbyi","MDP0544","MDP0544.mzXML","cro2rus","PP_Fuerte_27","Croton rusbyi","Euphorbiaceae","Croton","PP_Fuerte_27_Croton rusbyi","PP_Fuerte_27","Croton rusbyi",4
"PP_Fuerte_27_Rudgea verticillata","MDP0591","MDP0591.mzXML","rudver","PP_Fuerte_27","Rudgea verticillata","Rubiaceae","Rudgea","PP_Fuerte_27_Rudgea verticillata","PP_Fuerte_27","Rudgea verticillata",1
"PP_Fuerte_27_Caryocar dentatum","MDP0539","MDP0539.mzXML","car5den","PP_Fuerte_27","Caryocar dentatum","Caryocaraceae","Caryocar","PP_Fuerte_27_Caryocar dentatum","PP_Fuerte_27","Caryocar dentatum",2
"PP_Fuerte_27_Ocotea PCL-181","MDP0581","MDP0581.mzXML","ocoPCL181","PP_Fuerte_27","Ocotea PCL-181","Lauraceae","Ocotea","PP_Fuerte_27_Ocotea PCL-181",NA,NA,NA
"PP_Fuerte_27_Ternstroemia subserrata","MDP0597","MDP0597.mzXML","ter2sub","PP_Fuerte_27","Ternstroemia subserrata","Pentaphylacaceae","Ternstroemia","PP_Fuerte_27_Ternstroemia subserrata","PP_Fuerte_27","Ternstroemia subserrata",1
"PP_Fuerte_27_Rhodostemonodaphne longiflora","MDP0589","MDP0589.mzXML","rholon","PP_Fuerte_27","Rhodostemonodaphne longiflora","Lauraceae","Rhodostemonodaphne","PP_Fuerte_27_Rhodostemonodaphne longiflora","PP_Fuerte_27","Rhodostemonodaphne longiflora",4
"PP_Fuerte_27_Alchornea glandulosa","MDP0531","MDP0531.mzXML","alcgla","PP_Fuerte_27","Alchornea glandulosa","Euphorbiaceae","Alchornea","PP_Fuerte_27_Alchornea glandulosa","PP_Fuerte_27","Alchornea glandulosa",2
"PP_Fuerte_27_Miconia punctata","MDP0566","MDP0566.mzXML","mic1pun","PP_Fuerte_27","Miconia punctata","Melastomataceae","Miconia","PP_Fuerte_27_Miconia punctata","PP_Fuerte_27","Miconia punctata",5
"PP_Fuerte_27_Saurauia spectabilis","MDP0592","MDP0592.mzXML","sauspe","PP_Fuerte_27","Saurauia spectabilis","Actinidiaceae","Saurauia","PP_Fuerte_27_Saurauia spectabilis",NA,NA,NA
"PP_Fuerte_27_Miconia AF-17614A","MDP0562","MDP0562.mzXML","mic1AF17614A","PP_Fuerte_27","Miconia AF-17614A","Melastomataceae","Miconia","PP_Fuerte_27_Miconia AF-17614A",NA,NA,NA
"PP_Fuerte_27_Ficus americana","MDP0550","MDP0550.mzXML","ficame","PP_Fuerte_27","Ficus americana","Moraceae","Ficus","PP_Fuerte_27_Ficus americana","PP_Fuerte_27","Ficus americana",23
"PP_Fuerte_27_Cecropia angustifolia","MDP0540","MDP0540.mzXML","cecang","PP_Fuerte_27","Cecropia angustifolia","Urticaceae","Cecropia","PP_Fuerte_27_Cecropia angustifolia","PP_Fuerte_27","Cecropia angustifolia",11
"PP_Fuerte_27_Aniba muca","MDP0533","MDP0533.mzXML","animuc","PP_Fuerte_27","Aniba muca","Lauraceae","Aniba","PP_Fuerte_27_Aniba muca","PP_Fuerte_27","Aniba muca",2
"PP_Fuerte_27_Nectandra acutifolia","MDP0575","MDP0575.mzXML","necacu","PP_Fuerte_27","Nectandra acutifolia","Lauraceae","Nectandra","PP_Fuerte_27_Nectandra acutifolia","PP_Fuerte_27","Nectandra acutifolia",20
"PP_Fuerte_27_Myrcia paivae","MDP0570","MDP0570.mzXML","myr2pai","PP_Fuerte_27","Myrcia paivae","Myrtaceae","Myrcia","PP_Fuerte_27_Myrcia paivae","PP_Fuerte_27","Myrcia paivae",13
"PP_Fuerte_27_Ladenbergia bullata","MDP0560","MDP0560.mzXML","ladbul","PP_Fuerte_27","Ladenbergia bullata","Rubiaceae","Ladenbergia","PP_Fuerte_27_Ladenbergia bullata","PP_Fuerte_27","Ladenbergia bullata",5
"PP_Fuerte_27_Graffenrieda emarginata","MDP0552","MDP0552.mzXML","graema","PP_Fuerte_27","Graffenrieda emarginata","Melastomataceae","Graffenrieda","PP_Fuerte_27_Graffenrieda emarginata","PP_Fuerte_27","Graffenrieda emarginata",13
"PP_Fuerte_27_Calyptranthes AM-3415","MDP0538","MDP0538.mzXML","cal7AM3415","PP_Fuerte_27","Calyptranthes AM-3415","Myrtaceae","Calyptranthes","PP_Fuerte_27_Calyptranthes AM-3415",NA,NA,NA
"PP_Fuerte_27_Ocotea AF-15396","MDP0577","MDP0577.mzXML","ocoAF15396","PP_Fuerte_27","Ocotea AF-15396","Lauraceae","Ocotea","PP_Fuerte_27_Ocotea AF-15396",NA,NA,NA
"PP_Fuerte_27_Beilschmiedia tovarensis","MDP0536","MDP0536.mzXML","beitov","PP_Fuerte_27","Beilschmiedia tovarensis","Lauraceae","Beilschmiedia","PP_Fuerte_27_Beilschmiedia tovarensis","PP_Fuerte_27","Beilschmiedia tovarensis",35
"PP_Fuerte_27_Solanum aphyodendron","MDP0595","MDP0595.mzXML","solaph","PP_Fuerte_27","Solanum aphyodendron","Solanaceae","Solanum","PP_Fuerte_27_Solanum aphyodendron","PP_Fuerte_27","Solanum aphyodendron",0
"PP_Fuerte_27_Prunus stipulata","MDP0588","MDP0588.mzXML","pru2sti","PP_Fuerte_27","Prunus stipulata","Rosaceae","Prunus","PP_Fuerte_27_Prunus stipulata","PP_Fuerte_27","Prunus stipulata",0
"PP_Fuerte_27_Vismia glabra","MDP0598","MDP0598.mzXML","visgla","PP_Fuerte_27","Vismia glabra","Hypericaceae","Vismia","PP_Fuerte_27_Vismia glabra","PP_Fuerte_27","Vismia glabra",1
"PP_Fuerte_27_Ilex aggregata","MDP0557","MDP0557.mzXML","ileagg","PP_Fuerte_27","Ilex aggregata","Aquifoliaceae","Ilex","PP_Fuerte_27_Ilex aggregata","PP_Fuerte_27","Ilex aggregata",2
"PP_Fuerte_27_Ocotea albida","MDP0578","MDP0578.mzXML","ocoalb1","PP_Fuerte_27","Ocotea albida","Lauraceae","Ocotea","PP_Fuerte_27_Ocotea albida","PP_Fuerte_27","Ocotea albida",8
"PP_Fuerte_27_Aiouea montana","MDP0530","MDP0530.mzXML","aiomon","PP_Fuerte_27","Aiouea montana","Lauraceae","Aiouea","PP_Fuerte_27_Aiouea montana","PP_Fuerte_27","Aiouea montana",2
"PP_Fuerte_27_Ruagea glabra","MDP0590","MDP0590.mzXML","ruagla","PP_Fuerte_27","Ruagea glabra","Meliaceae","Ruagea","PP_Fuerte_27_Ruagea glabra","PP_Fuerte_27","Ruagea glabra",0
"PP_Kañupa_44_Nordenstamia repanda","MDP0197","MDP0197.mzXML","norrep","PP_Kañupa_44","Nordenstamia repanda","Asteraceae","Nordenstamia","PP_Kañupa_44_Nordenstamia repanda",NA,NA,NA
"PP_Kañupa_44_Symplocos fimbriata","MDP0201","MDP0201.mzXML","sym2fim","PP_Kañupa_44","Symplocos fimbriata","Symplocaceae","Symplocos","PP_Kañupa_44_Symplocos fimbriata",NA,NA,NA
"PP_Kañupa_44_Clethra ferruginea","MDP0191","MDP0191.mzXML","cle3fer","PP_Kañupa_44","Clethra ferruginea","Clethraceae","Clethra","PP_Kañupa_44_Clethra ferruginea",NA,NA,NA
"PP_Kañupa_44_Persea LSC-27","MDP0199","MDP0199.mzXML","per6LSC27","PP_Kañupa_44","Persea LSC-27","Lauraceae","Persea","PP_Kañupa_44_Persea LSC-27",NA,NA,NA
"PP_Kañupa_44_Weinmannia fagaroides","MDP0202","MDP0202.mzXML","weifag","PP_Kañupa_44","Weinmannia fagaroides","Cunoniaceae","Weinmannia","PP_Kañupa_44_Weinmannia fagaroides",NA,NA,NA
"PP_Kañupa_44_Myrsine dependens","MDP0196","MDP0196.mzXML","myr8dep","PP_Kañupa_44","Myrsine dependens","Primulaceae","Myrsine","PP_Kañupa_44_Myrsine dependens",NA,NA,NA
"PP_Kañupa_44_Hesperomeles ferruginea","MDP0193","MDP0193.mzXML","hesfer","PP_Kañupa_44","Hesperomeles ferruginea","Rosaceae","Hesperomeles","PP_Kañupa_44_Hesperomeles ferruginea",NA,NA,NA
"PP_Kañupa_44_Prunus brittoniana","MDP0200","MDP0200.mzXML","pru2bri","PP_Kañupa_44","Prunus brittoniana","Rosaceae","Prunus","PP_Kañupa_44_Prunus brittoniana",NA,NA,NA
"PP_Kañupa_44_Miconia mandonii","MDP0194","MDP0194.mzXML","mic1man","PP_Kañupa_44","Miconia mandonii","Melastomataceae","Miconia","PP_Kañupa_44_Miconia mandonii",NA,NA,NA
"PP_Kañupa_44_Miconia theaezans","MDP0195","MDP0195.mzXML","mic1the","PP_Kañupa_44","Miconia theaezans","Melastomataceae","Miconia","PP_Kañupa_44_Miconia theaezans",NA,NA,NA
"PP_Kañupa_44_Pentacalia herzogii","MDP0198","MDP0198.mzXML","pen1her","PP_Kañupa_44","Pentacalia herzogii","Asteraceae","Pentacalia","PP_Kañupa_44_Pentacalia herzogii",NA,NA,NA
"PP_Kañupa_44_Gynoxys mandonii","MDP0192","MDP0192.mzXML","gynman","PP_Kañupa_44","Gynoxys mandonii","Asteraceae","Gynoxys","PP_Kañupa_44_Gynoxys mandonii",NA,NA,NA
"PP_Lomaka_40_Miconia AF-7149","MDP0352","MDP0352.mzXML","mic1AF7149","PP_Lomaka_40","Miconia AF-7149","Melastomataceae","Miconia","PP_Lomaka_40_Miconia AF-7149",NA,NA,NA
"PP_Lomaka_40_Hieronyma GAT-658","MDP0332","MDP0332.mzXML","hieGAT658","PP_Lomaka_40","Hieronyma GAT-658","Phyllanthaceae","Hieronyma","PP_Lomaka_40_Hieronyma GAT-658",NA,NA,NA
"PP_Lomaka_40_Guapira opposita","MDP0325","MDP0325.mzXML","gua2opp","PP_Lomaka_40","Guapira opposita","Nyctaginaceae","Guapira","PP_Lomaka_40_Guapira opposita","PP_Lomaka_40","Guapira opposita",5
"PP_Lomaka_40_Helicostylis tomentosa","MDP0330","MDP0330.mzXML","hel2tom","PP_Lomaka_40","Helicostylis tomentosa","Moraceae","Helicostylis","PP_Lomaka_40_Helicostylis tomentosa","PP_Lomaka_40","Helicostylis tomentosa",3
"PP_Lomaka_40_Miconia chrysophylla","MDP0355","MDP0355.mzXML","mic1chr","PP_Lomaka_40","Miconia chrysophylla","Melastomataceae","Miconia","PP_Lomaka_40_Miconia chrysophylla","PP_Lomaka_40","Miconia chrysophylla",7
"PP_Lomaka_40_Inga cylindrica","MDP0338","MDP0338.mzXML","ingcyl","PP_Lomaka_40","Inga cylindrica","Fabaceae","Inga","PP_Lomaka_40_Inga cylindrica","PP_Lomaka_40","Inga cylindrica",10
"PP_Lomaka_40_Cupania CMG-2731","MDP0315","MDP0315.mzXML","cupCMG2731","PP_Lomaka_40","Cupania CMG-2731","Sapindaceae","Cupania","PP_Lomaka_40_Cupania CMG-2731",NA,NA,NA
"PP_Lomaka_40_Hirtella triandra","MDP0334","MDP0334.mzXML","hir2tri","PP_Lomaka_40","Hirtella triandra","Chrysobalanaceae","Hirtella","PP_Lomaka_40_Hirtella triandra","PP_Lomaka_40","Hirtella triandra",5
